"序号","模块","题名/资料名","作者/机构","年份","类型","用于课题","状态"
"1","宋韵文化","宋韵文化的概念界定与认识维度","待补作者","2024","学术论文","界定宋韵文化概念、形态与当代价值","待核验"
"2","宋韵文化","试论宋韵文化的认识维度、精神实质和当代价值","待补作者","2023","学术论文","支撑宋韵文化精神实质和当代转化表述","待核验"
"3","宋韵文化","宋韵文化再认识","待补作者","2023","学术论文","补充宋韵文化价值维度和理论边界","待核验"
"4","宋韵文化","宋代美学思想研究","待补作者","待补","专著/论文","支撑宋韵审美、含蓄、清雅和日常美学论述","待检索"
"5","宋韵文化","宋代生活美学研究","待补作者","待补","专著/论文","支撑寝居、器物、服饰和日常生活美学分析","待检索"
"6","宋韵文化","宋代服饰文化研究","待补作者","待补","专著/论文","支撑丝绸、服饰与宋韵审美关系","待检索"
"7","宋韵文化","宋画中的物质文化与日常生活研究","待补作者","待补","学术论文","为图像分析提供宋代视觉参照","待检索"
"8","宋韵文化","宋代城市生活与消费文化研究","待补作者","待补","专著/论文","支撑都城消费与丝绸产品关系","待检索"
"9","宋韵文化","南宋临安城市文化研究","待补作者","待补","专著/论文","支撑临安都城文化背景","待检索"
"10","宋韵文化","宋韵文化数字化传播研究","待补作者","待补","学术论文","支撑宋韵文化在数字媒介中的转译研究","待检索"
"11","南宋畿辅","《梦粱录》","吴自牧","南宋","古籍","提供南宋临安城市生活、风俗与物质文化线索","待版本核验"
"12","南宋畿辅","《武林旧事》","周密","南宋","古籍","提供临安都城生活、节俗与消费场景线索","待版本核验"
"13","南宋畿辅","《西湖老人繁胜录》","西湖老人","南宋","古籍","补充南宋临安市井生活和城市景观","待版本核验"
"14","南宋畿辅","《咸淳临安志》","潜说友等","南宋","地方志","支撑临安都城空间和制度背景","待版本核验"
"15","南宋畿辅","《嘉兴府志》","地方志编纂者","多版本","地方志","检索嘉兴蚕桑、丝织、交通和村镇资料","待检索"
"16","南宋畿辅","《湖州府志》","地方志编纂者","多版本","地方志","检索湖州蚕桑丝织传统和区域文脉","待检索"
"17","南宋畿辅","《桐乡县志》","地方志编纂者","多版本","地方志","检索桐乡马鸣、蚕桑、乡村产业和民俗资料","待检索"
"18","南宋畿辅","Commerce and Society in Sung China","Shiba Yoshinobu","1970","英文专著","支撑宋代商业、区域经济和城市消费背景","待核验"
"19","南宋畿辅","Daily Life in China on the Eve of the Mongol Invasion, 1250-1276","Jacques Gernet","1962/1982","英文专著","提供南宋生活史和物质文化参照","待核验"
"20","南宋畿辅","The Pattern of the Chinese Past","Mark Elvin","1973","英文专著","支撑江南经济、技术和区域社会长时段背景","待核验"
"21","蚕桑丝绸","Science and Civilisation in China, Vol. 5, Part 9: Textile Technology: Spinning and Reeling","Dieter Kuhn","1988","英文专著","支撑蚕桑、缫丝和丝织技术史","待核验"
"22","蚕桑丝绸","Chinese Silk: A Cultural History","Shelagh Vainker","2004","英文专著","支撑中国丝绸文化史和国际传播背景","待核验"
"23","蚕桑丝绸","Treasures in Silk","Zhao Feng","1999","图录/专著","支撑丝绸纹样、织物和博物馆图像资料","待核验"
"24","蚕桑丝绸","Technology and Gender: Fabrics of Power in Late Imperial China","Francesca Bray","1997","英文专著","支撑纺织、性别、劳动和家庭生产关系","待核验"
"25","蚕桑丝绸","中国丝绸史","待补作者","待补","中文专著","提供丝绸制度、工艺和贸易史背景","待检索"
"26","蚕桑丝绸","浙江丝绸史研究","待补作者","待补","专著/论文","支撑浙江丝绸文化和地方产业背景","待检索"
"27","蚕桑丝绸","浙江蚕桑史研究","待补作者","待补","专著/论文","支撑浙江蚕桑传统和地方产业背景","待检索"
"28","蚕桑丝绸","嘉兴蚕桑文化研究","待补作者","待补","学术论文","支撑嘉兴区域蚕桑文化脉络","待检索"
"29","蚕桑丝绸","湖州丝绸文化研究","待补作者","待补","学术论文","支撑浙北丝绸文化区域比较","待检索"
"30","蚕桑丝绸","中国传统桑蚕丝织技艺保护研究","待补作者","待补","学术论文","支撑蚕桑丝织技艺的整体性保护论述","待检索"
"31","非遗民俗","高杆船技非遗保护研究","待补作者","待补","学术论文","支撑高杆船技的身体技艺和传承机制分析","待检索"
"32","非遗民俗","蚕花水会民俗文化研究","待补作者","待补","学术论文","支撑蚕花水会的仪式性、节庆性和地方认同分析","待检索"
"33","非遗民俗","江南蚕桑民俗研究","待补作者","待补","专著/论文","支撑蚕桑信仰、蚕花娘娘和乡村民俗体系","待检索"
"34","非遗民俗","蚕花娘娘信仰与江南蚕桑民俗研究","待补作者","待补","学术论文","支撑蚕桑信仰和仪式符号研究","待检索"
"35","非遗民俗","江南水乡民俗节庆的影像传播研究","待补作者","待补","学术论文","支撑蚕花水会短视频和展陈影像分析","待检索"
"36","非遗民俗","非物质文化遗产活态传承研究","待补作者","待补","专著/论文","支撑非遗从保护到转化的理论框架","待检索"
"37","非遗民俗","传统手工艺非遗的生产性保护研究","待补作者","待补","学术论文","支撑蚕丝被工艺和产业转化关系","待检索"
"38","非遗民俗","地方节庆与乡村文旅融合研究","待补作者","待补","学术论文","支撑节庆民俗转化为文旅体验","待检索"
"39","非遗民俗","非遗传播中的身体性与仪式性研究","待补作者","待补","学术论文","支撑高杆船技、蚕花水会的影像叙事","待检索"
"40","非遗民俗","非遗影像传播与地方文化认同研究","待补作者","待补","学术论文","支撑非遗影像和地方认同关系","待检索"
"41","地方资料","浙江桐乡蚕桑文化系统保护与发展规划","规划编制单位","待核验","研究报告/规划","支撑马鸣老街、桑园观光、蚕桑展示和产业空间线索","待核验"
"42","地方资料","《桐乡市志》","地方志编纂委员会","待补","地方志","支撑桐乡蚕桑、丝织、文旅和产业发展背景","待检索"
"43","地方资料","《洲泉镇志》","地方志编纂委员会","待补","地方志","支撑洲泉区域产业、蚕桑传统和马鸣村空间","待检索"
"44","地方资料","马鸣村村志或村史资料","村委/地方档案","待补","地方志/档案","核验村落历史、产业演变和地方记忆","待采集"
"45","地方资料","桐乡蚕桑文化系统农业文化遗产研究","待补作者","待补","学术论文/报告","支撑蚕桑文化系统与乡村资源保护","待检索"
"46","地方资料","桐乡蚕丝被产业发展研究","待补作者","待补","学术论文/行业报告","支撑蚕丝被产业链和品牌传播研究","待检索"
"47","地方资料","洲泉蚕丝被产业集群研究","待补作者","待补","学术论文/行业报告","支撑蚕丝被名镇、产业集群和地方品牌研究","待检索"
"48","地方资料","乡村文化资源调查方法研究","待补作者","待补","学术论文","支撑马鸣村资源清单和田野调查方法","待检索"
"49","地方资料","地方志资料在区域文化研究中的应用","待补作者","待补","学术论文","支撑地方志和口述史结合的方法论","待检索"
"50","地方资料","农业文化遗产视域下蚕桑文化系统保护研究","待补作者","待补","学术论文","支撑蚕桑文化系统保护和文旅转化","待检索"
"51","影像叙事","影像民族志：人类学知识生产过程与实践","雷亮中","2016","学术论文","支撑影像民族志、田野影像和知识生产方法","待核验"
"52","影像叙事","民族志电影的知识生产","待补作者","待补","学术论文","补充影视人类学和地方知识生产层次","待检索"
"53","影像叙事","Visual Anthropology: Photography as a Research Method","John Collier Jr.; Malcolm Collier","1986","英文专著","支撑摄影作为田野研究方法","待核验"
"54","影像叙事","The Ethnographic Eye: Ways of Seeing in Anthropology","Anna Grimshaw","2001","英文专著","支撑影像观看、民族志和视觉方法","待核验"
"55","影像叙事","Visual Methodologies","Gillian Rose","2001/多版","英文专著","支撑视觉材料分析和图像方法","待核验"
"56","影像叙事","Doing Visual Ethnography","Sarah Pink","2001/多版","英文专著","支撑视觉民族志和感官田野研究","待核验"
"57","影像叙事","非遗纪录片影像叙事研究","待补作者","待补","学术论文","支撑蚕桑非遗纪录影像分析","待检索"
"58","影像叙事","乡村短视频传播与地方文化再生产研究","待补作者","待补","学术论文","支撑马鸣村短视频传播路径研究","待检索"
"59","影像叙事","展陈影像与地方文化记忆研究","待补作者","待补","学术论文","支撑蚕桑展示馆和村落展陈影像设计","待检索"
"60","影像叙事","品牌影像叙事与文化产品传播研究","待补作者","待补","学术论文","支撑蚕丝被品牌影像和产品叙事","待检索"
"61","AIGC与数字文化","AIGC视域下的非遗视觉重构——从“形”的模仿到“神”的参数化提取","徐贮琅、蔡青","2026","学术论文","支撑AIGC非遗视觉语义和文化基因提取","待核验"
"62","AIGC与数字文化","AIGC“转译”经典艺术的生成模式与视觉叙事建构","待核验作者","2025","学术论文","支撑AIGC作为文化图像转译器的分析","待核验"
"63","AIGC与数字文化","AIGC驱动下非遗文化的NFT艺术转化与网络营销创新研究","朱然","2025","学术论文","支撑AIGC、非遗、数字资产和网络营销关系","待核验"
"64","AIGC与数字文化","传统文化数字化保护中的真实性问题研究","待补作者","待补","学术论文","支撑AIGC生成中的文化真实性边界","待检索"
"65","AIGC与数字文化","生成式人工智能与文化遗产数字传播研究","待补作者","待补","学术论文","支撑AI时代文化遗产传播机制","待检索"
"66","AIGC与数字文化","人工智能生成图像的审美评价研究","待补作者","待补","学术论文","支撑图像生成评价维度设计","待检索"
"67","AIGC与数字文化","AI艺术中的风格迁移与文化误读研究","待补作者","待补","学术论文","支撑泛古风化、历史错置和符号拼贴分析","待检索"
"68","AIGC与数字文化","数字人文视域下地方文化资源可视化研究","待补作者","待补","学术论文","支撑田野材料数据库和视觉符号库建设","待检索"
"69","AIGC与数字文化","非遗数字化传播中的视觉符号转译研究","待补作者","待补","学术论文","支撑非遗图像生成和传播符号规范","待检索"
"70","AIGC与数字文化","跨文化语境下AI生成中国传统文化图像的误读研究","待补作者","待补","学术论文","支撑海外传播和东方主义化风险分析","待检索"
"71","文旅与产业转化","浙江丝绸文化与旅游融合发展创新路径探索","待核验作者","待补","学术论文","支撑浙江丝绸文化文旅融合路径","待核验"
"72","文旅与产业转化","丝绸之路旅游研究文献综述","待补作者","待补","综述论文","提供丝绸旅游研究的综述参照","待核验"
"73","文旅与产业转化","杭州文旅融合创新路径探究——基于资源与市场的双重视角","吾思怡","2025","学术论文","支撑浙江区域文旅融合和宋韵文化节语境","待核验"
"74","文旅与产业转化","乡村文旅融合与地方品牌塑造研究","待补作者","待补","学术论文","支撑马鸣村文旅传播和地方品牌建构","待检索"
"75","文旅与产业转化","文化产品叙事与消费认同研究","待补作者","待补","学术论文","支撑蚕丝被从功能商品到文化产品转化","待检索"
"76","文旅与产业转化","农文旅融合背景下非遗资源活化研究","待补作者","待补","学术论文","支撑蚕桑非遗、乡村体验和消费转化","待检索"
"77","文旅与产业转化","跨境电商视觉传播与中国品牌出海研究","待补作者","待补","学术论文","支撑蚕丝被海外页面和跨文化视觉传播","待检索"
"78","文旅与产业转化","东方生活美学与当代品牌传播研究","待补作者","待补","学术论文","支撑蚕丝被寝居美学和国际传播表达","待检索"
"79","文旅与产业转化","公共美育视域下地方传统文化转化研究","待补作者","待补","学术论文","支撑宋韵丝绸文化课程、工作坊和展陈转化","待检索"
"80","文旅与产业转化","文化特派员机制下乡村文化资源转化研究","待补作者","待补","学术论文","支撑文化特派员实践、地方服务和成果转化","待检索"